doi,paper_id,title,authors,published_date,submission_date,article_url,in_scope,qualitative,data,code,data_and_code,neither,data_gated,data_source_apply_at,package_location,path_to_package,coverage_checked,notes
10.15195/v2.a17,SS046,Heterogeneous Causal Effects and Sample Selection Bias,"Richard Breen, Seongsoo Choi, Anders Holm",2015-07-08,"November 4, 2014",https://sociologicalscience.com/articles-v2-17-351/,,,,,,,,,,,,
10.15195/v2.a20,SS049,The Missing Main Effect of Welfare State Regimes: A Replication of ‘Social Policy Responsiveness in Developed Democracies’ by Brooks and Manza,Nate Breznau,2015-08-17,"March 20, 2015",https://sociologicalscience.com/articles-v2-20-420/,,,,,,,,,,,,
10.15195/v2.a21,SS050,Periodic Discordance Between Vote Equality and Representational Equality in the United States,Sarah K. Cowan,2015-08-19,"July 25, 2015",https://sociologicalscience.com/articles-v2-21-442/,,,,,,,,,,,,
,SS051,Income Inequality and Education,"Richard Breen, Inkwan Chung",2015-08-26,"April 3, 2015",https://sociologicalscience.com/articles-v2-22-454/,,,,,,,,,,,,
10.15195/v2.a24,SS053,A New Conservative Cold Front? Democrat and Republican Responsiveness to the Passage of the Affordable Care Act,"Stephen L. Morgan, Minhyoung Kang",2015-09-16,"June 11, 2015",https://sociologicalscience.com/articles-v2-24-502/,,,,,,,,,,,,
10.15195/v2.a25,SS054,Is There a Caring Class? Intergenerational Transmission of Care Work,"Maria Charles, Corrie Ellis, Paula England",2015-09-30,"July 13, 2015",https://sociologicalscience.com/articles-v2-25-527/,,,,,,,,,,,,
10.15195/v2.a26,SS055,Intermediate Levels of Network Fluidity Amplify Economic Growth and Mitigate Economic Inequality in Experimental Social Networks,"Akihiro Nishi, Hirokazu Shirado, Nicholas A. Christakis",2015-11-30,"September 11, 2015",https://sociologicalscience.com/articles-v2-26-544/,,,,,,,,,,,,
10.15195/v2.a27,SS056,The Hidden Costs of War: Exposure to Armed Conflict and Birth Outcomes,"Florencia Torche, Uri Shwed",2015-12-07,"April 15, 2015",https://sociologicalscience.com/articles-v2-27-558/,,,,,,,,,,,,
10.15195/v2.a28,SS057,A Comparative Analysis of Corporate and Independent Foundations,"Justin Koushyar, Wesley Longhofer, Peter W. Roberts",2015-12-15,"December 15, 2015",https://sociologicalscience.com/articles-v2-28-582/,,,,,,,,,,,,
10.15195/v3.a1,SS058,Unequal Hard Times: The Influence of the Great Recession on Gender Bias in Entrepreneurial Financing,"Sarah Thébaud, Amanda J. Sharkey",2016-01-06,"June 12, 2015",https://sociologicalscience.com/articles-v3-1-1/,,,,,,,,,,,,
10.15195/v3.a3,SS060,How Much Scope for a Mobility Paradox? The Relationship between Social and Income Mobility in Sweden,"Richard Breen, Carina Mood, Jan O. Jonsson",2016-02-04,"March 20, 2015",https://sociologicalscience.com/articles-v3-3-39/,,,,,,,,,,,,
10.15195/v3.a4,SS061,"The Social Context of Racial Boundary Negotiations: Segregation, Hate Crime, and Hispanic Racial Identification in Metropolitan America","Michael T. Light, John Iceland",2016-02-08,"October 20, 2015",https://sociologicalscience.com/articles-v3-4-61/,,,,,,,,,,,,
10.15195/v3.a5,SS062,The End of Symbolic Exclusion? The Rise of “Categorical Tolerance” in the Musical Tastes of Americans: 1993–2012,"Omar Lizardo, Sara Skiles",2016-02-11,"July 26, 2015",https://sociologicalscience.com/articles-v3-5-85/,,,,,,,,,,,,
10.15195/v3.a6,SS063,The Missing Main Effect of Welfare State Regimes: A Comment,David L. Weakliem,2016-02-17,"November 10, 2015",https://sociologicalscience.com/articles-v3-6-109/,,,,,,,,,,,,
10.15195/v3.a7,SS064,"Life in a Crime Scene: Stop, Question, and Frisk Activity in New York City Neighborhoods in the Aftermath of Homicides","Johanna Lacoe, Patrick Sharkey",2016-02-24,"September 11, 2015",https://sociologicalscience.com/articles-v3-7-116/,,,,,,,,,,,,
10.15195/v3.a8,SS065,The Fragmented Evolution of Racial Integration since the Civil Rights Movement,"Michael D.M. Bader, Siri Warkentien",2016-03-02,"February 13, 2015",https://sociologicalscience.com/articles-v3-8-135/,,,,,,,,,,,,
10.15195/v3.a9,SS066,"Disaster, Disruption to Family Life, and Intimate Partner Violence: The Case of the 2010 Earthquake in Haiti","Abigail Weitzman, Julia Andrea Behrman",2016-03-07,2015-12-03,https://sociologicalscience.com/articles-v3-9-167/,,,,,,,,,,,,
10.15195/v3.a10,SS067,Can Incarceration Really Strip People of Racial Privilege?,"Lance Hannon, Robert DeFina",2016-03-18,"October 16, 2015",https://sociologicalscience.com/v3-10-190/,,,,,,,,,,,,
10.15195/v3.a11,SS068,Viral Altruism? Charitable Giving and Social Contagion in Online Networks,"Nicola Lacetera, Mario Macis, Angelo Mele",2016-03-24,"September 10, 2015",https://sociologicalscience.com/articles-v3-11-202/,,,,,,,,,,,,
10.15195/v3.a13,SS070,'Membership Has Its Privileges': Status Incentives and Categorical Inequality in Education,"Thurston Domina, Andrew M. Penner, Emily K. Penner",2016-05-06,"June 23, 2015",https://sociologicalscience.com/articles-v3-13-264/,,,,,,,,,,,,
10.15195/v3.a14,SS071,The Strength of Weak Ties in MBA Job Search:  A Within–Person Test,"Jason Greenberg, Roberto M. Fernandez",2016-05-18,"January 4, 2016",https://sociologicalscience.com/articles-v3-14-296/,,,,,,,,,,,,
10.15195/v3.a15,SS072,Pulling the Trigger: How Threats to the Nation Increase Support for Military Action via the Generation of Hubris,Yuval Feinstein,2016-05-25,"January 4, 2016",https://sociologicalscience.com/articles-v3-15-317/,,,,,,,,,,,,
10.15195/v3.a16,SS073,Integration Policies and Immigrants’ Labor Market Outcomes in Europe,Irena Kogan,2016-06-03,"January 16, 2016",https://sociologicalscience.com/articles-v3-16-335/,,,,,,,,,,,,
10.15195/v3.a17,SS074,Trust and Public Support for Environmental Protection in Diverse National Contexts,Malcolm Fairbrother,2016-06-08,"March 3, 2016",https://sociologicalscience.com/articles-v3-17-359/,,,,,,,,,,,,
10.15195/v3.a18,SS075,Twentieth Century Intercohort Trends in Verbal Ability in the United States,"Shawn F. Dorius, Duane F. Alwin, Julianna Pacheco",2016-06-13,"January 13, 2016",https://sociologicalscience.com/articles-v3-18-383/,,,,,,,,,,,,
10.15195/v3.a23,SS080,The Bell Curve Revisited: Testing Controversial Hypotheses with Molecular Genetic Data,"Dalton Conley, Benjamin Domingue",2016-07-05,"January 19, 2016",https://sociologicalscience.com/articles-v3-23-520/,,,,,,,,,,,,
10.15195/v3.a24,SS081,"American Exceptionalism Revisited:  Tax Relief, Poverty Reduction, and the Politics of Child Tax Credits","Joshua T. McCabe, Elizabeth Popp Berman",2016-07-08,"March 16, 2016",https://sociologicalscience.com/articles-v3-24-540/,,,,,,,,,,,,
10.15195/v3.a25,SS082,The Consequences of the National Math and Science Performance Environment for Gender Differences in STEM Aspiration,"Allison Mann, Thomas A. DiPrete",2016-07-12,"February 22, 2016",https://sociologicalscience.com/articles-v3-25-568/,,,,,,,,,,,,
10.15195/v3.a27,SS084,Multicollinearity and Model Misspecification,"Christopher Winship, Bruce Western",2016-07-26,"February 5, 2016",https://sociologicalscience.com/articles-v3-27-627/,,,,,,,,,,,,
10.15195/v3.a28,SS085,Lifestyles through Expenditures: A Case-Based Approach to Saving,"Lisa A. Keister, Richard Benton, James Moody",2016-08-03,"March 17, 2016",https://sociologicalscience.com/articles-v3-28-650/,,,,,,,,,,,,
10.15195/v3.a29,SS086,"Religion, Time Use, and Affective Well-Being",Chaeyoon Lim,2016-08-10,"April 6, 2016",https://sociologicalscience.com/articles-v3-29-685/,,,,,,,,,,,,
10.15195/v3.a32,SS089,Measuring Paradigmaticness of Disciplines Using Text,"Eliza D. Evans, Charles J. Gomez, Daniel A. McFarland",2016-08-31,"March 4, 2016",https://sociologicalscience.com/articles-v3-32-757/,,,,,,,,,,,,
10.15195/v3.a34,SS091,Growing Farther Apart: Racial and Ethnic Inequality in Household Wealth Across the Distribution,Michelle Maroto,2016-09-12,"May 11, 2016",https://sociologicalscience.com/articles-v3-34-801/,,,,,,,,,,,,
10.15195/v3.a36,SS093,Are Firms That Discriminate More Likely to Go Out of Business?,Devah Pager,2016-09-19,"June 29, 2016",https://sociologicalscience.com/articles-v3-36-849/,,,,,,,,,,,,
10.15195/v3.a37,SS094,The Course of Law: State Intervention in Southern Lynch Mob Violence 1882–1930,"Kinga Makovi, Ryan Hagen, Peter Bearman",2016-09-26,"June 23, 2016",https://sociologicalscience.com/articles-v3-37-860/,,,,,,,,,,,,
10.15195/v3.a39,SS096,Stylized Facts and Experimentation,"Charles Crabtree, Christopher J. Fariss",2016-10-12,"August 12, 2016",https://sociologicalscience.com/articles-v3-39-910/,,,,,,,,,,,,
10.15195/v3.a41,SS098,Success-Breeds-Success in Collective Political Behavior: Evidence from a Field Experiment,"Arnout van de Rijt, Idil Afife Akin, Robb Willer, Matthew Feinberg",2016-10-31,"August 17, 2016",https://sociologicalscience.com/articles-v3-41-940/,,,,,,,,,,,,
10.15195/v3.a42,SS099,Increases in Sex with Same-Sex Partners and Bisexual Identity Across Cohorts of Women (but Not Men),"Paula England, Emma Mishel, Mónica L. Caudillo",2016-11-07,"August 2, 2016",https://sociologicalscience.com/articles-v3-42-951/,,,,,,,,,,,,
10.15195/v3.a43,SS100,"Reliability of the Core Items in the General Social Survey: Estimates from the Three-Wave Panels, 2006–2014","Michael Hout, Orestes P. Hastings",2016-11-14,"August 27, 2016",https://sociologicalscience.com/articles-v3-43-971/,,,,,,,,,,,,
10.15195/v3.a46,SS103,Deporting the American Dream: Immigration Enforcement and Latino Foreclosures,"Jacob S. Rugh, Matthew Hall",2016-12-08,"September 26, 2016",https://sociologicalscience.com/articles-v3-46-1053/,,,,,,,,,,,,
10.15195/v3.a47,SS104,Persistent Educational Advantage Across Three Generations: Empirical Evidence for Germany,Andrea Ziefle,2016-12-12,"September 14, 2016",https://sociologicalscience.com/articles-v3-47-1077/,,,,,,,,,,,,
10.15195/v3.a48,SS105,Social Distance and Knowledge Transformation: The Effects of Social Network Distance on Organizational Learning,"Brandy Aven, Evelyn Ying Zhang",2016-12-15,"September 8, 2016",https://sociologicalscience.com/articles-v3-48-1103/,,,,,,,,,,,,
10.15195/v4.a1,SS106,Important Matters in Political Context,"Byungkyu Lee, Peter Bearman",2017-01-03,"October 23, 2016",https://sociologicalscience.com/articles-v4-1-1/,,,,,,,,,,,,
10.15195/v4.a2,SS107,Essential or Expendable Supports? Assessing the Relationship between School Climate and Student Outcomes,Joshua Klugman,2017-01-10,"September 10, 2016",https://sociologicalscience.com/articles-v4-2-31/,,,,,,,,,,,,
10.15195/v4.a3,SS108,Rebuilding Walls: Market Transition and Social Mobility in the Post-Socialist Societies of Europe,"Michelle Jackson, Geoffrey Evans",2017-01-16,"July 11, 2016",https://sociologicalscience.com/articles-v4-3-54/,,,,,,,,,,,,
10.15195/v4.a4,SS109,The Perils of Proclaiming an Authentic Organizational Identity,"Balázs Kovács, Glenn R. Carroll, David W. Lehman",2017-01-23,"October 30, 2016",https://sociologicalscience.com/articles-v4-4-80/,,,,,,,,,,,,
10.15195/v4.a5,SS110,Temporal Issues in Replication: The Stability of Centrality-Based Advantage,"Yuan Shi, Olav Sorenson, David M. Waguespack",2017-01-30,"October 17, 2016",https://sociologicalscience.com/articles-v4-5-107/,,,,,,,,,,,,
10.15195/v4.a8,SS113,"Deciding to Wait: Partnership Status, Economic Conditions, and Pregnancy during the Great Recession","Christine Percheski, Rachel Tolbert Kimbro",2017-02-20,"September 23, 2016",https://sociologicalscience.com/articles-v4-8-176/,,,,,,,,,,,,
10.15195/v4.a9,SS114,Fast or Slow: Sociological Implications of Measuring Dual-Process Cognition,Rick Moore,2017-02-27,"October 20, 2016",https://sociologicalscience.com/articles-v4-9-196/,,,,,,,,,,,,
10.15195/v4.a10,SS115,Making Friends in Violent Neighborhoods: Strategies among Elementary School Children,"Anjanette M. Chan Tack, Mario L. Small",2017-03-15,"January 12, 2017",https://sociologicalscience.com/articles-v4-10-224/,,,,,,,,,,,,
10.15195/v4.a12,SS117,"More than Money: Social Class, Income, and the Intergenerational Persistence of Advantage",Carina Mood,2017-04-05,"January 3, 2017",https://sociologicalscience.com/articles-v4-12-263/,,,,,,,,,,,,
10.15195/v4.a14,SS119,"Interactions, Actors, and Time: Dynamic Network Actor Models for Relational Events","Christoph Stadtfeld, Per Block",2017-05-15,"March 10, 2017",https://sociologicalscience.com/articles-v4-14-318/,,,,,,,,,,,,
10.15195/v4.a17,SS122,A Taste of Inequality: Food's Symbolic Value across the Socioeconomic Spectrum,Priya Fielding-Singh,2017-08-10,"June 15, 2017",https://sociologicalscience.com/articles-v4-17-424/,,,,,,,,,,,,
10.15195/v4.a18,SS123,"The Partial Deinstitutionalization of Affirmative Action in U.S. Higher Education, 1988 to 2014","Daniel Hirschman, Ellen Berrey",2017-08-28,"June 21, 2017",https://sociologicalscience.com/articles-v4-18-449/,,,,,,,,,,,,
10.15195/v4.a19,SS124,How Black Are Lakisha and Jamal? Racial Perceptions from Names Used in Correspondence Audit Studies,S. Michael Gaddis,2017-09-06,"May 18, 2017",https://sociologicalscience.com/articles-v4-19-469/,,,,,,,,,,,,
10.15195/v4.a21,SS126,"Motherhood, Sex of the Offspring, and Religious Signaling",Ozan Aksoy,2017-09-27,"June 7, 2017",https://sociologicalscience.com/articles-v4-21-511/,,,,,,,,,,,,
10.15195/v4.a22,SS127,Revisiting Broken Windows: The Role of Neighborhood and Individual Characteristics in Reaction to Disorder Cues,Beate Volker,2017-10-11,"July 22, 2017",https://sociologicalscience.com/articles-v4-22-528/,,,,,,,,,,,,
,SS128,The Entrepreneur's Network and Firm Performance,"Victor Nee, Lisha Liu, Daniel DellaPosta",2017-10-18,"July 12, 2017",https://sociologicalscience.com/articles-v4-23-552/,,,,,,,,,,,,
10.15195/v4.a24,SS129,Faking It Is Hard to Do: Entrepreneurial Norm Enforcement and Suspicions of Deviance,"Minjae Kim, Ezra W. Zuckerman Sivan",2017-10-25,"July 17, 2017",https://sociologicalscience.com/articles-v4-24-580/,,,,,,,,,,,,
10.15195/v4.a26,SS131,Better Estimates from Binned Income Data: Interpolated CDFs and Mean-Matching,"Paul T. von Hippel, David J. Hunter, McKalie Drown",2017-11-15,"September 23, 2017",https://sociologicalscience.com/articles-v4-26-641/,,,,,,,,,,,,
10.15195/v4.a27,SS132,"The White Working Class and Voter Turnout in U.S. Presidential Elections, 2004 to 2016","Stephen L. Morgan, Jiwon Lee",2017-11-20,"October 2, 2017",https://sociologicalscience.com/articles-v4-27-656/,,,,,,,,,,,,
10.15195/v4.a28,SS133,The Persistent and Exceptional Intensity of American Religion: A Response to Recent Research,"Landon Schnabel, Sean Bock",2017-11-27,"October 19, 2017",https://sociologicalscience.com/articles-v4-28-686/,,,,,,,,,,,,
10.15195/v5.a3,SS137,Social Influence on Observed Race,Zsófia Boda,2018-01-18,"November 4, 2017",https://sociologicalscience.com/articles-v5-3-29/,,,,,,,,,,,,
10.15195/v5.a4,SS138,"Pathways to Carbon Pollution: The Interactive Effects of Global, Political, and Organizational Factors on Power Plants’ CO2Emissions","Don Grant, Andrew K. Jorgenson, Wesley Longhofer",2018-01-25,"November 15, 2017",https://sociologicalscience.com/articles-v5-4-58/,,,,,,,,,,,,
10.15195/v5.a5,SS139,Intergenerational Educational Mobility in Denmark and the United States,"Stefan B. Andrade, Jens-Peter Thomsen",2018-02-14,"December 7, 2017",https://sociologicalscience.com/articles-v5-5-93/,,,,,,,,,,,,
10.15195/v5.a7,SS141,The Problems and Promise of Hierarchy: Voice Rights and the Firm,"Robert F. Freeland, Ezra W. Zuckerman Sivan",2018-03-05,"July 15, 2017",https://sociologicalscience.com/articles-v5-7-143/,,,,,,,,,,,,
10.15195/v5.a8,SS142,Income Inequality and the Persistence of Racial Economic Disparities,Robert Manduca,2018-03-12,"December 11, 2017",https://sociologicalscience.com/articles-v5-8-182/,,,,,,,,,,,,
10.15195/v5.a9,SS143,"The Sources of Life Chances: Does Education, Class Category, Occupation, or Short-Term Earnings Predict 20-Year Long-Term Earnings?","ChangHwan Kim, Christopher R. Tamborini, Arthur Sakamoto",2018-03-21,"December 19, 2017",https://sociologicalscience.com/articles-v5-9-206/,,,,,,,,,,,,
10.15195/v5.a10,SS144,Trump Voters and the White Working Class,"Stephen L. Morgan, Jiwon Lee",2018-04-16,"February 19, 2018",https://sociologicalscience.com/articles-v5-10-234/,,,,,,,,,,,,
10.15195/v5.a11,SS145,Competition in the Family: Inequality between Siblings and the Intergenerational Transmission of Educational Advantage,Michael Grätz,2018-05-17,"December 19, 2017",https://sociologicalscience.com/articles-v5-11-246/,,,,,,,,,,,,
10.15195/v5.a12,SS146,Gaydar and the Fallacy of Decontextualized Measurement,"Andrew Gelman, Greggor Mattson, Daniel Simpson",2018-05-24,"March 6, 2018",https://sociologicalscience.com/articles-v5-12-270/,,,,,,,,,,,,
10.15195/v5.a14,SS148,Moore–Penrose Estimators of Age–Period–Cohort Effects: Their Interrelationship and Properties,"Ethan Fosse, Christopher Winship",2018-06-07,"March 12, 2018",https://sociologicalscience.com/articles-v5-14-304/,,,,,,,,,,,,
10.15195/v5.a15,SS149,Mass Imprisonment and the Extended Family,"Pil H. Chung, Peter Hepburn",2018-06-14,"March 29, 2018",https://sociologicalscience.com/articles-v5-15-335/,,,,,,,,,,,,
10.15195/v5.a16,SS150,The Diverging Beliefs and Practices of the Religiously Affiliated and Unaffiliated in the United States,Aaron Gullickson,2018-06-21,"April 23, 2018",https://sociologicalscience.com/articles-v5-16-361/,,,,,,,,,,,,
10.15195/v5.a18,SS152,Network Evolution and Social Situations,Per Block,2018-07-05,"April 30, 2018",https://sociologicalscience.com/articles-v5-18-402/,,,,,,,,,,,,
10.15195/v5.a20,SS154,"Benefit Inequality among American Workers by Gender, Race, and Ethnicity, 1982–2015","Tali Kristal, Yinon Cohen, Edo Navot",2018-07-19,"April 17, 2018",https://sociologicalscience.com/articles-v5-20-461/,,,,,,,,,,,,
10.15195/v5.a21,SS155,The Social Life of Mortgage Delinquency and Default,Brian J. McCabe,2018-07-26,"April 18, 2018",https://sociologicalscience.com/articles-v5-21-489/,,,,,,,,,,,,
10.15195/v5.a22,SS156,Schools as Moderators of Genetic Associations with Life Course Attainments: Evidence from the WLS and Add Health,"Sam Trejo, Daniel W Belsky, Jason D. Boardman, Jeremy Freese, Kathleen Mullan Harris, Pam Herd, Kamil Sicinski, Benjamin W. Domingue",2018-08-02,"March 20, 2018",https://sociologicalscience.com/articles-v5-22-513/,,,,,,,,,,,,
10.15195/v5.a23,SS157,"Unions and Nonunion Pay in the United States, 1977-2015","Patrick Denice, Jake Rosenfeld",2018-08-15,"June 12, 2018",https://sociologicalscience.com/articles-v5-23-541/,,,,,,,,,,,,
10.15195/v5.a24,SS158,The Labor Market Value of Taste: An Experimental Study of Class Bias in U.S. Employment,Kyla Thomas,2018-09-12,"November 17, 2017",https://sociologicalscience.com/articles-v5-24-562/,,,,,,,,,,,,
10.15195/v5.a26,SS160,"Poor State, Rich State: Understanding the Variability of Poverty Rates across U.S. States","Jennifer Laird, Zachary Parolin, Jane Waldfogel, Christopher Wimer",2018-10-03,"June 17, 2018",https://sociologicalscience.com/articles-v5-26-628/,,,,,,,,,,,,
10.15195/v5.a27,SS161,Taxation and Citizen Voice in School District Parcel Tax Elections,"Isaac William Martin, Jennifer M. Nations",2018-10-29,"August 2, 2018",https://sociologicalscience.com/articles-v5-27-653/,,,,,,,,,,,,
10.15195/v5.a30,SS163,The Continuing Persistence of Intense Religion in the United States: Rejoinder,"Landon Schnabel, Sean Bock",2018-11-15,"October 25, 2018",https://sociologicalscience.com/articles-v5-30-711/,,,,,,,,,,,,
10.15195/v5.a29,SS164,Even Intense Religiosity Is Declining in the United States: Comment,"David Voas, Mark Chaves",2018-11-15,"August 3, 2018",https://sociologicalscience.com/articles-v5-29-694/,,,,,,,,,,,,
10.15195/v5.a31,SS165,How States Make Race: New Evidence from Brazil,"Stanley R. Bailey, Fabrício M. Fialho, Mara Loveman",2018-11-26,"September 4, 2018",https://sociologicalscience.com/articles-v5-31-722/,,,,,,,,,,,,
